AE1:1
BT1:1
CANT1:1
CB1:1
CB2:1
CB3:1
CB4:1
CB5:1
CB6:1
CC1:1
CC2:1
CCOM1:1
CIN1:1
CIN2:1
CIN3:1
CIN4:1
CIN5:1
COUT1:1
COUT2:1
CPMP1:1
CPMP2:1
CS1:1
CS2:1
CS3:1
CS4:1
CS5:1
CS6:1
CS7:1
CXTL1:1
CXTL2:1
D1:1
D2:1
DANT1:1
FB1:1
FB2:1
IC1:1
IC2:1
IC3:1
IC4:1
J1:1
J2:1
J3:1
KIBUZZARD-69A389EF:1
KIBUZZARD-69A38A54:1
LANT1:1
LS1:1
OLED1:1
PS1:1
RCC1:1
RCC2:1
RCLK1:1
RD1:1
RD2:1
RFB1:1
RFB2:1
RFB3:1
RIN1:1
RIN2:1
RIN3:1
RLED1:1
RLED2:1
RPRG1:1
RREF1:1
RRST0:1
RRST1:1
RRST2:1
RSD1:1
RSD2:1
RSDA1:1
RSEN1:1
S1:1
S2:1
S3:1
S4:1
S5:1
U1:1
Y1:1
